Unnamed: 0_level_0 - id,Unnamed: 1_level_0 - S1,Unnamed: 2_level_0 - S2,Unnamed: 3_level_0 - S3,Unnamed: 4_level_0 - S4,Unnamed: 5_level_0 - S5,Unnamed: 6_level_0 - S6a,Unnamed: 7_level_0 - S6b,Unnamed: 8_level_0 - S7,Unnamed: 9_level_0 - S8,Unnamed: 10_level_0 - S9,Unnamed: 11_level_0 - Q1_SQ001,Unnamed: 12_level_0 - Q1bOE1,Unnamed: 13_level_0 - Q1bOE2,Unnamed: 14_level_0 - Q1BOE3,NEW POLICY - Q2_SQ001,NEW POLICY - Q3_SQ001,NEW POLICY - Q3_SQ002,NEW POLICY - Q3_SQ003,NEW POLICY - Q3_SQ004,NEW POLICY - Q3_SQ005,NEW POLICY - Q4,NEW POLICY - Q4_other,NEW POLICY - Q4a_SQ001,ALL - Q5,ALL - Q5a_SQ001,1 to 5 - Q6_SQ001,ALL 1 to 5 - Q7_SQ001,ALL 1 to 5 - Q8_SQ001,if cashless is selected then Q10-11 if reimbersment then Q10-12 - Q9,1 to 5 - Q10_SQ001,1 to 5 - Q10_SQ002,1 to 5 - Q10_SQ003,1 to 5 - Q10_SQ004,old data - Q11,old data - Q12,RENEWAL - Q13_SQ001,RENEWAL - Q14_SQ001,RENEWAL - Q14_SQ002,RENEWAL - Q14_SQ003,RENEWAL - Q14_SQ004,RENEWAL - Q14_SQ005,RENEWAL - Q15_1,RENEWAL - Q15_2,RENEWAL - Q15_3,RENEWAL - Q15_4,ALL - Q16_AO01,ALL - Q16_AO02,ALL - Q16_AO03,ALL - Q16_AO04,ALL - Q16_AO05,ALL - Q16_other
10002,No,None of these,Yes,CHENNAI,21 – 30 years,MASTERS,SALARIED,NEW INDIA ASSURANCE,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,9,,,,,,,,,,,,,No,,,5,,,,,,,,,8.0,10.0,7.0,8.0,7.0,8.0,2.0,1.0,4.0,3.0,1,0,0,0,0,0
10003,No,None of these,Yes,JAIPUR,31 – 40 years,PROFESSIONAL DEGREE,SELF EMPLOYED,HDFC ERGO,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,6,,,,,,,,,,,,,No,,,3,,,,,,,,,3.0,5.0,4.0,2.0,4.0,3.0,2.0,1.0,3.0,4.0,1,1,1,0,0,0
10006,No,None of these,Yes,LUDHIANA,31 – 40 years,MASTERS,UNEMPLOYED,BAGIC,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,6,,,,,,,,,,,,,No,,,5,,,,,,,,,4.0,7.0,4.0,6.0,2.0,3.0,1.0,2.0,3.0,4.0,1,1,0,0,0,0
10007,No,None of these,Yes,KOLKATA,21 – 30 years,PROFESSIONAL DEGREE,SALARIED,NEW INDIA ASSURANCE,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,9,,,,,,,,,,,,,No,,,5,,,,,,,,,9.0,10.0,8.0,9.0,9.0,9.0,1.0,4.0,2.0,3.0,1,1,0,0,0,0
10015,No,None of these,Yes,DELHI,31 – 40 years,PROFESSIONAL DEGREE,SALARIED,STAR HEALTH,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,10,,,,,,,,,,,,,No,,,5,,,,,,,,,8.0,9.0,10.0,6.0,10.0,6.0,1.0,3.0,2.0,4.0,0,0,1,0,0,0
10016,No,None of these,Yes,CHENNAI,31 – 40 years,MASTERS,SALARIED,ADITYA BIRLA HEALTH,New policy,Above Rs 1 lakh,9,,,,9.0,7.0,10.0,9.0,9.0,9.0,DIRECT BRANCH,,5.0,No,,,4,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0
10024,No,None of these,Yes,LUDHIANA,31 – 40 years,PROFESSIONAL DEGREE,SALARIED,NEW INDIA ASSURANCE,New policy,Above Rs 1 lakh,2,,,,3.0,3.0,4.0,5.0,4.0,3.0,DIRECT BRANCH,,2.0,No,,,2,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0
10026,No,None of these,Yes,AHMEDABAD,21 – 30 years,MASTERS,SALARIED,CARE HEALTH,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,10,,,,,,,,,,,,,Yes,8.0,4.0,4,8.0,Reimbursement,4.0,5.0,5.0,5.0,,2.0,10.0,10.0,9.0,10.0,8.0,10.0,1.0,3.0,2.0,4.0,1,1,0,0,0,0
10027,No,None of these,Yes,MUMBAI,21 – 30 years,PROFESSIONAL DEGREE,SALARIED,CARE HEALTH,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,10,,,,,,,,,,,,,Yes,8.0,4.0,4,8.0,Reimbursement,5.0,5.0,5.0,4.0,,3.0,9.0,9.0,8.0,9.0,9.0,7.0,2.0,1.0,4.0,3.0,1,0,1,0,0,0
10029,No,None of these,Yes,BANGALORE,41 – 50 years,PROFESSIONAL DEGREE,HOUSE MAKER,HDFC ERGO,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,7,,,,,,,,,,,,,No,,,5,,,,,,,,,8.0,10.0,7.0,10.0,9.0,10.0,1.0,2.0,4.0,3.0,0,1,1,0,1,0
10032,No,None of these,Yes,CHENNAI,21 – 30 years,PROFESSIONAL DEGREE,UNEMPLOYED,HDFC ERGO,Renewal of the old policy with the same insurance company,Above Rs 1 lakh,10,,,,,,,,,,,,,No,,,5,,,,,,,,,9.0,8.0,9.0,10.0,8.0,10.0,1.0,4.0,3.0,2.0,1,0,1,0,0,0
